Filename:	TEST
Operator ID:	 
Sample ID:	HMm-1130 
Comment: 	 
Serial Number:	002042001 
Data Collected:	06.12.2019 12:19:21 
Sample Weight:	12.492 mg 
Display Weight:	12.492 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	TEST
Date/Time:	 
Initial Conditions 
Temperature:	 50.00 �C 
Baseline Filename:	 
End Condition:	Go To Load 
Total Points in Run:	1155 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Nitrogen at 20.0 ml/min  
	Action occurs Immediately 
1)	Hold for 1.0 min at 50.00�C 
 
2)	Heat from 50.00�C to 700.00�C at 40.00�C/min 
 
3)	Hold for 2.0 min at 700.00�C 
 
1) TGA Isothermal 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	R25 Diagnostic 
	          	Weight     	Weight     	Temperature	Temperature	Gas Flow     	Temperature 
	2.550000	12.373779	0.000000	112.000000	70.040000	19.800000	0.000000 
	2.566667	12.372717	0.000000	112.666667	70.470000	19.800000	0.000000 
	2.583333	12.371017	0.000000	113.333333	70.900000	19.800000	0.000000 
	2.600000	12.369530	0.000000	114.000000	71.340000	19.800000	0.000000 
	2.616667	12.368892	0.000000	114.666667	71.790000	19.800000	0.000000 
	2.633333	12.368042	0.000000	115.333333	72.230000	19.800000	0.000000 
	2.650000	12.366555	0.000000	116.000000	72.680000	19.800000	0.000000 
	2.666667	12.365280	0.000000	116.666667	73.130000	19.800000	0.000000 
	2.683333	12.364217	0.000000	117.333333	73.590000	19.800000	0.000000 
	2.700000	12.363368	0.000000	118.000000	74.050000	19.800000	0.000000 
	2.716667	12.362305	0.000000	118.666667	74.510000	19.800000	0.000000 
	2.733333	12.359755	0.000000	119.333333	74.970000	19.800000	0.000000 
	2.750000	12.358480	0.000000	120.000000	75.440000	19.800000	0.000000 
	2.766667	12.358268	0.000000	120.666667	75.910000	19.800000	0.000000 
	2.783333	12.357418	0.000000	121.333333	76.380000	19.800000	0.000000 
	2.800000	12.355506	0.000000	122.000000	76.860000	19.800000	0.000000 
	2.816667	12.354018	0.000000	122.666667	77.330000	19.800000	0.000000 
	2.833333	12.353168	0.000000	123.333333	77.820000	19.800000	0.000000 
	2.850000	12.351468	0.000000	124.000000	78.300000	19.800000	0.000000 
	2.866667	12.349768	0.000000	124.666667	78.790000	19.800000	0.000000 
	2.883333	12.348494	0.000000	125.333333	79.270000	19.800000	0.000000 
	2.900000	12.346794	0.000000	126.000000	79.770000	19.800000	0.000000 
	2.916667	12.344456	0.000000	126.666667	80.260000	19.800000	0.000000 
	2.933333	12.342544	0.000000	127.333333	80.760000	19.800000	0.000000 
	2.950000	12.340207	0.000000	128.000000	81.260000	19.800000	0.000000 
	2.966667	12.338507	0.000000	128.666667	81.760000	19.800000	0.000000 
	2.983333	12.337019	0.000000	129.333333	82.260000	19.800000	0.000000 
	3.000000	12.335107	0.000000	130.000000	82.770000	19.800000	0.000000 
	3.016667	12.333620	0.000000	130.666667	83.280000	19.800000	0.000000 
	3.033333	12.332345	0.000000	131.333333	83.790000	19.800000	0.000000 
	3.050000	12.329582	0.000000	132.000000	84.300000	19.800000	0.000000 
	3.066667	12.327457	0.000000	132.666667	84.820000	19.800000	0.000000 
